('2462', '1', '15,11,12,3,10', '16,28,20,30,24', '39,40,0,35,37', '59,51,56,60,53', '66,68,67,72,64', '2025-03-13 18:05:28', 'Awura'),
('2581', '21', '14,15,7,3,6', '20,27,17,28,16', '37,34,0,41,33', '48,55,54,46,50', '71,66,69,72,64', '2025-03-29 18:38:19', 'Dalloo'),
('2582', '30', '9,3,11,8,12', '25,26,16,29,21', '35,40,0,33,42', '54,58,57,55,46', '62,66,63,73,70', '2025-03-29 18:38:19', 'Dalloo'),
('2583', '28', '12,3,6,7,15', '23,28,30,22,17', '37,42,0,32,44', '47,55,57,48,59', '75,62,63,71,65', '2025-03-29 18:38:19', 'Dalloo'),
('2584', '6', '12,8,3,7,13', '20,25,28,24,29', '35,43,0,38,32', '59,60,53,55,46', '72,63,64,67,68', '2025-03-29 18:38:19', 'Dalloo'),
('2585', '26', '11,14,8,15,5', '30,20,22,16,25', '31,38,0,36,40', '49,58,51,57,52', '71,63,74,70,72', '2025-03-29 18:38:19', 'Dalloo'),
('2586', '4', '5,6,4,8,9', '25,23,24,30,18', '40,32,0,33,34', '57,47,60,56,53', '69,72,63,62,73', '2025-03-29 18:38:19', 'Dalloo'),
('2587', '7', '15,4,11,14,6', '23,18,26,16,29', '42,43,0,33,41', '58,55,52,49,56', '75,68,66,61,63', '2025-03-29 18:38:19', 'Dalloo'),
('2588', '23', '3,2,12,1,14', '23,28,30,21,20', '42,43,0,31,40', '53,60,49,59,46', '69,75,65,63,61', '2025-03-29 18:38:19', 'Dalloo'),
('2589', '39', '10,12,11,2,6', '26,25,24,28,18', '38,37,0,36,33', '49,55,51,54,56', '61,69,66,71,73', '2025-03-29 18:38:19', 'Dalloo'),
('2590', '32', '3,14,15,9,6', '28,16,18,19,26', '34,43,0,41,40', '48,49,57,47,53', '73,69,62,68,74', '2025-03-29 18:38:19', 'Dalloo'),
('2591', '5', '6,10,8,14,3', '27,22,16,17,26', '41,45,0,40,33', '46,60,59,50,52', '69,74,63,62,65', '2025-03-29 18:38:19', 'Dalloo'),
('2592', '41', '7,13,15,5,1', '18,24,28,23,17', '37,41,0,33,42', '53,57,60,52,59', '63,70,61,67,65', '2025-03-29 18:38:19', 'Dalloo'),
('2593', '46', '7,13,9,5,3', '23,21,30,26,19', '38,43,0,34,41', '46,51,60,59,50', '68,73,66,70,67', '2025-03-29 18:38:19', 'Dalloo'),
('2594', '48', '13,6,1,5,7', '27,20,25,19,18', '35,45,0,44,40', '51,53,59,58,54', '74,65,62,69,72', '2025-03-29 18:38:19', 'Dalloo'),
('2595', '42', '9,10,11,6,4', '30,29,26,24,21', '37,34,0,41,36', '53,55,52,49,47', '73,68,67,61,66', '2025-03-29 18:38:19', 'Dalloo'),
('2596', '53', '5,3,8,11,9', '25,24,27,26,18', '38,31,0,37,43', '59,60,47,51,49', '62,72,70,73,75', '2025-03-29 18:38:19', 'Dalloo'),
('2597', '50', '7,9,3,14,4', '27,30,29,26,17', '32,42,0,35,34', '59,49,54,50,47', '72,73,69,74,68', '2025-03-29 18:38:19', 'Dalloo'),
('2598', '10', '3,5,9,1,8', '30,17,27,16,25', '44,34,0,43,33', '50,51,56,47,58', '70,67,75,66,65', '2025-03-29 18:38:19', 'Dalloo'),
('2599', '51', '4,6,8,2,11', '21,17,30,27,22', '34,32,0,40,41', '60,56,57,53,47', '73,74,70,64,61', '2025-03-29 18:38:19', 'Dalloo'),
('2600', '54', '11,2,12,14,15', '24,29,30,27,21', '43,34,0,41,39', '55,51,59,49,60', '74,61,67,72,64', '2025-03-29 18:38:19', 'Dalloo'),
('2601', '57', '1,12,4,3,5', '18,22,30,27,25', '42,33,0,38,40', '60,59,51,53,56', '73,70,74,66,71', '2025-03-29 18:38:19', 'Dalloo'),
('2602', '55', '11,13,14,2,3', '30,21,24,25,27', '38,39,0,45,32', '53,58,60,59,56', '66,70,65,75,68', '2025-03-29 18:38:19', 'Dalloo'),
('2603', '40', '11,13,14,10,5', '20,17,24,29,21', '40,41,0,33,34', '51,52,54,60,49', '64,66,70,73,75', '2025-03-29 18:38:19', 'Dalloo'),
('2604', '44', '12,2,8,14,11', '26,23,16,20,18', '43,31,0,38,36', '48,55,49,51,53', '68,63,67,75,62', '2025-03-29 18:38:19', 'Dalloo'),
('2605', '43', '12,5,3,1,15', '17,16,21,26,19', '36,42,0,31,35', '52,59,50,60,57', '62,61,63,75,64', '2025-03-29 18:38:19', 'Dalloo'),
('2606', '45', '2,4,7,1,8', '23,29,17,30,28', '39,35,0,40,45', '50,58,59,53,57', '64,61,71,73,62', '2025-03-29 18:38:19', 'Dalloo'),
('2607', '52', '13,12,14,1,8', '29,26,19,25,20', '40,38,0,32,31', '52,60,54,47,53', '65,66,64,68,73', '2025-03-29 18:38:19', 'Dalloo'),
('2608', '2', '9,10,15,2,1', '16,29,18,30,20', '37,32,0,33,42', '52,49,55,58,54', '70,68,61,69,62', '2025-03-29 18:38:19', 'Dalloo'),
('2609', '37', '1,5,3,8,7', '20,26,18,28,22', '36,31,0,45,38', '53,49,55,51,60', '68,70,62,74,61', '2025-03-29 18:38:19', 'Dalloo'),
('2610', '9', '8,3,5,15,14', '30,24,17,28,18', '31,39,0,43,32', '47,54,55,52,50', '61,65,74,71,75', '2025-03-29 18:38:19', 'Dalloo'),
('2611', '56', '5,12,15,2,3', '16,20,22,29,25', '36,39,0,45,38', '55,49,48,53,59', '66,71,70,72,62', '2025-03-29 18:38:19', 'Dalloo'),
('2612', '58', '12,7,6,2,10', '25,17,23,16,24', '34,44,0,41,40', '52,58,51,46,59', '73,67,62,74,75', '2025-03-29 18:38:19', 'Dalloo'),
('2613', '34', '7,6,12,15,1', '21,16,28,24,30', '43,32,0,38,35', '55,54,56,51,53', '74,70,63,68,72', '2025-03-29 18:38:19', 'Dalloo'),
('2614', '36', '8,9,13,1,10', '23,28,22,25,29', '39,37,0,31,32', '60,51,48,56,58', '69,75,65,74,68', '2025-03-29 18:38:19', 'Dalloo'),
('2615', '73', '2,14,6,10,3', '23,26,28,19,22', '43,38,0,42,34', '54,50,59,55,51', '73,69,62,74,63', '2025-03-29 18:38:19', 'Dalloo'),
('2616', '76', '6,15,5,13,11', '27,28,19,21,25', '41,33,0,31,43', '48,50,56,52,60', '69,72,73,65,64', '2025-03-29 18:38:19', 'Dalloo'),
('2617', '74', '6,1,14,15,2', '20,27,30,29,16', '36,45,0,42,34', '46,56,47,50,55', '75,73,64,69,72', '2025-03-29 18:38:19', 'Dalloo'),
('2618', '47', '14,13,5,6,2', '17,28,18,29,23', '33,35,0,42,45', '47,49,52,60,59', '72,71,68,66,64', '2025-03-29 18:38:19', 'Dalloo'),
('2619', '77', '8,1,3,15,11', '26,19,28,18,16', '32,45,0,37,41', '48,53,55,58,56', '62,63,69,72,64', '2025-03-29 18:38:19', 'Dalloo'),
('2620', '79', '14,6,1,5,2', '21,22,25,20,16', '33,36,0,43,34', '49,56,47,57,59', '64,62,70,72,71', '2025-03-29 18:38:19', 'Dalloo'),
('2621', '78', '13,11,3,12,9', '19,20,29,22,30', '41,38,0,39,40', '53,52,54,56,47', '71,67,72,73,65', '2025-03-29 18:38:19', 'Dalloo'),
('2622', '59', '6,10,4,5,7', '16,19,18,24,21', '43,34,0,38,41', '56,49,59,55,57', '63,64,61,72,68', '2025-03-29 18:38:19', 'Dalloo'),
('2623', '80', '13,5,15,1,8', '22,28,17,24,21', '42,32,0,39,38', '50,58,53,48,47', '74,75,72,61,73', '2025-03-29 18:38:19', 'Dalloo'),
('2624', '29', '11,8,15,13,6', '24,28,26,27,20', '32,31,0,33,38', '51,56,55,60,58', '73,68,62,67,71', '2025-03-29 18:38:19', 'Dalloo'),
('2625', '61', '1,5,7,13,3', '29,19,25,16,17', '38,33,0,35,39', '56,57,50,48,54', '75,74,61,73,65', '2025-03-29 18:38:19', 'Dalloo'),
